타임스탬프,본인의 MBTI 유형을 알고 계시다면 작성해 주세요. , Q1. 도슨트 로봇의 설명 시작 방식에 대한 선호도  ,Q1에서 문항을 선택한 이유,"  Q2. 도슨트 AI 로봇이 그림 앞에서 자동으로 음성 설명을 들려주는 기능이 있다면, 어떤 방식으로 듣고 싶으신가요?  ",Q2에서 문항을 선택한 이유,Q3. 무선 이어폰 연결 방식에 대한 선호도 ,Q3에서 문항을 선택한 이유,"  Q4. 도슨트 AI 로봇과 상호작용할 수 있다면, 어떤 방식이 가장 편하신가요?  ",Q4에서 문항을 선택한 이유,"Q5. 도슨트 AI 로봇이 사진을 찍어주는 기능이 있다면, 이용할 때의 장점",추가 의견이 있으시다면 자유롭게 작성해주세요. ,
2025/04/10 10:58:10 오후 GMT+9,intp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,무선이어폰으로 개별 청취,,개인 스마트폰 앱을 통한 연결,,스마트폰 앱을 통한 조작,,아니오,,예
2025/04/11 7:37:39 오후 GMT+9,Infj,로봇이 자동으로 설명을 시작하는 방식,"1. 버튼을 눌러야 한다는 건 로봇이 설명을 해준다는 사실을 한번 인지하는 과정이 필요하고, 어떠한 사소한 동작이 한번 더 필요하다보니 상대적으로 접근성이 떨어진다고 생각했음

2. 미술관에서 설명을 들었던 기억을 떠올려보면 입장 후 설명 중인걸 발견하고 가서 같이 들은 경험이 많음

3. 목적에 따라 다르겠지만 많은 사람들에게 쉽게 접근하기 위함이라면 자동 설명 방식이 더 나은 것 같음



",로봇 내장 스피커로 청취,"Q1번과 같은 이유

+ 같이 보러 온 사람과 듣는 상황을 고려했을때나
   각각의 작품을 보기 위해 이동할 때를 고려했을 때나 
내장 스피커가 낫다고 생각함",도슨트 로봇에 바로 블루투스 연결,"Q1과 같은 맥락

+ 전시 관람 당시 앱 설치 과정에서 긴 시간이 소요되 불편함을 느꼈음",화면 터치를 통한 조작,가장 짧고 편리한 과정이라 생각함,"전시는 다른사람과도 보는 경우가 많다보니
같이 기록용으로 찍기 좋겠다는 생각이 듬",강동 바보 ,
2025/04/11 7:46:46 오후 GMT+9,ENFP,상황에 따라 선택할 수 있는 옵션이 제공,조금 더 관람 하고 싶거나 상황에 따라 유동성이 필요 할 것 같아서,무선이어폰으로 개별 청취,다른 소음에 방해 받지 않고 개인적으로 듣고 싶음,도슨트 로봇에 바로 블루투스 연결,덜 귀찮을 것 같다,화면 터치를 통한 조작,음성 명령 선호하지 않음,혼자 여행을 하더라도 작품과 함께 사진 찍을 수 있을 것 같다,,
2025/04/11 7:55:41 오후 GMT+9,intj,상황에 따라 선택할 수 있는 옵션이 제공,사람마다 알고자 하는 지식에는 차이가 있기에,무선이어폰으로 개별 청취,타인이 원한다는 이유로 나에게 흥미 없는 내용을 듣는다면 작품에 대한 몰입과 감상하는 집중력이 흐트러질 수 있기에,도슨트 로봇에 바로 블루투스 연결,,화면 터치를 통한 조작,미술관이나 전시관에서 대화를 통해 의사소통을 한다는 것은 타인의 감상을 깨는 행위이기에,작품을 사진으로 남기고 싶다는 생각을 내려놓을 수 있기에 작품을 감상하는 순간에 더 깊이 몰입할 수 있다.,,
2025/04/11 8:09:49 오후 GMT+9,Istj,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,자동으로 설명하면 설명이 필요한 사람에게는 설명이 되지 않을 수 있고 오류날거같음,로봇 내장 스피커로 청취,무선이어폰은 착용하기 귀찮아서 안 들으려고할듯,도슨트 로봇에 바로 블루투스 연결,앱을 다운해야하는 귀찮음+ 연령대에 따라 앱 다운에 어려움이 있을 수 있음,음성 명령으로 대화,직접 소통하듯이 하면 더 흥미로울거같음,추억 생성,,
2025/04/11 8:12:00 오후 GMT+9,ESTJ,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,"작품 감상 후 설명을 필요로 하는 때에, 필요로 하는 작품만 선택적으로 들을 수 있어서",무선이어폰으로 개별 청취," 다양한 작품들 사이에서 각각 설명이 나온다면 소란스럽고, 산만한 분위기가 되어서 작품 감상에 방해가 될 것 같음",도슨트 로봇에 바로 블루투스 연결,별도 앱 설치 과정이 불필요하고 간편 할 것 같기 때문,화면 터치를 통한 조작,"별도 앱 설치도 불필요하고, 소란스러워서 음성 인식이 잘 안 될 염려도 없기 때문",어떤 상황에서 사진을 찍어주는지는 모르겠으나 보통 작품 부근에서 사진 촬영이 불가한 경우가 많은데 로봇이 사진을 찍어준다면 기념이 될 것 같음,,
2025/04/11 8:12:27 오후 GMT+9,Intp,상황에 따라 선택할 수 있는 옵션이 제공,편리해서,무선이어폰으로 개별 청취,개인별로 한명 한명 적합하기 때문에,도슨트 로봇에 바로 블루투스 연결,앱설치의 귀찮음,화면 터치를 통한 조작,간편하기 때문에,찍어줄 상대방이 필요하지 않다는 장점,,
2025/04/11 8:13:51 오후 GMT+9,ESTJ,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,필요로 한 설명만 듣고싶기 때문입니다,무선이어폰으로 개별 청취,듣다가 이해가 되지 않는 부분은 다시 들을 수 있기 때문에 개별청취 원합니다,도슨트 로봇에 바로 블루투스 연결,편리하기 때문입니다,스마트폰 앱을 통한 조작,,타이머 맞추지 않고 편하게 단체사진 찍을 수 있다,,
2025/04/11 8:16:08 오후 GMT+9,intj,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,무선이어폰으로 개별 청취,,도슨트 로봇에 바로 블루투스 연결,,스마트폰 앱을 통한 조작,,혼자 있을 때도 어려움 없이 찍을 수 있음,,
2025/04/11 8:18:00 오후 GMT+9,ENTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,필여하지 않은 사람에게까지 로봇을 사용할 필요는 없다고 생각한다.,무선이어폰으로 개별 청취,듣고 싶지않은 사람도 있을 수도 있고 선택 사항이긴 때문에 가볼로 청취해야한다.,도슨트 로봇에 바로 블루투스 연결,앱을 까는 것은 귀찮다고 느끼는 사람이 많을 것 같다.,화면 터치를 통한 조작,글을 직접 읽고 누르는 게 정확하다.,포토스팟을 지정해서 잘 찍어줄 것 같다.,,
